Shot Chart Detail,0021400064,77,200794,Paul Millsap,1610612737,Atlanta Hawks,1,3,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-136,224,1,0
Shot Chart Detail,0021400064,195,200794,Paul Millsap,1610612737,Atlanta Hawks,2,5,16,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,11,1,1
Shot Chart Detail,0021400064,204,200794,Paul Millsap,1610612737,Atlanta Hawks,2,4,49,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,1,1,0
Shot Chart Detail,0021400064,244,200794,Paul Millsap,1610612737,Atlanta Hawks,2,0,48,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
Shot Chart Detail,0021400064,258,200794,Paul Millsap,1610612737,Atlanta Hawks,3,10,50,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,17,58,1,1
Shot Chart Detail,0021400064,263,200794,Paul Millsap,1610612737,Atlanta Hawks,3,9,54,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,67,42,1,1
Shot Chart Detail,0021400064,269,200794,Paul Millsap,1610612737,Atlanta Hawks,3,9,15,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-52,64,1,0
Shot Chart Detail,0021400064,283,200794,Paul Millsap,1610612737,Atlanta Hawks,3,7,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-18,30,1,1
Shot Chart Detail,0021400064,290,200794,Paul Millsap,1610612737,Atlanta Hawks,3,7,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-205,129,1,0
Shot Chart Detail,0021400064,296,200794,Paul Millsap,1610612737,Atlanta Hawks,3,6,42,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,0,1,0
Shot Chart Detail,0021400064,319,200794,Paul Millsap,1610612737,Atlanta Hawks,3,4,32,Missed Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,8,20,1,0
Shot Chart Detail,0021400064,338,200794,Paul Millsap,1610612737,Atlanta Hawks,3,3,23,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
Shot Chart Detail,0021400064,352,200794,Paul Millsap,1610612737,Atlanta Hawks,3,2,32,Missed Shot,Jump Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-37,14,1,0
Shot Chart Detail,0021400064,467,200794,Paul Millsap,1610612737,Atlanta Hawks,4,4,13,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-38,6,1,1
Shot Chart Detail,0021400071,13,200794,Paul Millsap,1610612737,Atlanta Hawks,1,11,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,121,96,1,1
Shot Chart Detail,0021400071,30,200794,Paul Millsap,1610612737,Atlanta Hawks,1,8,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-60,170,1,0
